Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
66;0.1984462;0.20374553;0.19835443;0.19430471;0.19267734;0.197505642;0.004304061
67;0.19974567;0.20323532;0.19582535;0.19376101;0.19202447;0.196918364;0.004555528
68;0.19846244;0.19953294;0.19430161;0.19315758;0.18823411;0.194737736;0.004523595
69;0.19179127;0.19980175;0.19359035;0.19163981;0.18991278;0.193347192;0.003835742
70;0.19186252;0.19855609;0.19176329;0.18878727;0.18731124;0.191656082;0.004323539
71;0.19321667;0.19577937;0.18815876;0.1906509;0.18599349;0.190759838;0.003896385
72;0.18999329;0.19317684;0.1856419;0.18349182;0.18056209;0.186573188;0.005044818
73;0.18777249;0.1936127;0.1832328;0.18299006;0.18159838;0.185841286;0.004925961
74;0.18534921;0.19027274;0.18249307;0.18172832;0.180608;0.184090268;0.003875046
75;0.17829534;0.19064233;0.18179064;0.18188016;0.1802407;0.182569834;0.004741944
76;0.18160061;0.18782375;0.17915692;0.18017498;0.17643822;0.181038896;0.004236867
77;0.18180236;0.18442257;0.1758441;0.1787025;0.17154729;0.178463764;0.005035147
78;0.17507984;0.18215611;0.17715237;0.17801339;0.17326683;0.177133708;0.003360425
79;0.17465891;0.1834961;0.17572974;0.1712159;0.17045241;0.175110612;0.00519065
80;0.17145872;0.17877967;0.17091758;0.17098422;0.16699562;0.171827162;0.004282371
81;0.16880286;0.17692132;0.1737084;0.17087235;0.16655046;0.171371078;0.004072809
82;0.16616177;0.17411005;0.17174035;0.16525585;0.16356901;0.168167406;0.00452012
83;0.16376273;0.17668153;0.16736533;0.16477864;0.16215996;0.166949638;0.005759626
