Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
289;0.0132289;0.01425313;0.01679373;0.01501752;0.014095;0.014677656;0.001342747
290;0.01284591;0.01415486;0.01548447;0.01506126;0.01524901;0.014559102;0.001081998
291;0.01446027;0.01488811;0.01567425;0.01447879;0.01475088;0.01485046;0.000495063
292;0.01317879;0.01366963;0.01698775;0.01351362;0.01379181;0.01422832;0.001559602
293;0.01425132;0.01406787;0.01728282;0.01480429;0.01383267;0.014847794;0.001407638
294;0.01515923;0.01315896;0.01616941;0.01692055;0.01368382;0.015018394;0.001596986
295;0.01444698;0.01312212;0.01604235;0.01727419;0.013062;0.014789528;0.001845606
296;0.01266629;0.01185199;0.01427293;0.01654902;0.01290494;0.013649034;0.00184038
297;0.01314566;0.01188025;0.01443924;0.01649566;0.01278911;0.013749984;0.001788729
298;0.01257547;0.01231164;0.01572671;0.01527085;0.01340112;0.013857158;0.001559893
299;0.01299706;0.01162807;0.01473425;0.01291827;0.01229054;0.012913638;0.001157858
300;0.01176177;0.0121743;0.01422267;0.01377121;0.01335355;0.0130567;0.001050429
301;0.01306127;0.01227092;0.01466424;0.01265187;0.01223117;0.012975894;0.001001798
302;0.01281656;0.01207988;0.01302489;0.0124064;0.01302108;0.012669762;0.000414852
303;0.01149025;0.01291688;0.01579132;0.01212571;0.01466929;0.01339869;0.001791219
304;0.01155922;0.0137598;0.01479021;0.01168546;0.01481422;0.013321782;0.001609323
305;0.01035317;0.01219462;0.01337291;0.01178074;0.01499373;0.012539034;0.001745889
306;0.01096471;0.01119556;0.01313064;0.01116642;0.01375144;0.012041754;0.001299132
307;0.01025148;0.01260844;0.01151815;0.01130433;0.01326267;0.011789014;0.001174246
308;0.01070955;0.01160133;0.01173593;0.01047871;0.0120337;0.011311844;0.000678527
309;0.01020793;0.01200695;0.01201578;0.01179403;0.01185711;0.01157636;0.000770925
310;0.01051275;0.01254135;0.01190565;0.01104154;0.01292582;0.011785422;0.001007403
311;0.0108686;0.01197038;0.01155102;0.01046271;0.01204146;0.011378834;0.000692508
312;0.01053759;0.0110982;0.01184386;0.01049274;0.01271444;0.011337366;0.000943809
313;0.01096704;0.01166247;0.01179031;0.00997517;0.01258946;0.01139689;0.000981529
314;0.01093104;0.01213562;0.01109236;0.00992843;0.01204677;0.011226844;0.000906865
315;0.0104304;0.01119693;0.01181183;0.01027624;0.01083557;0.010910194;0.000619038
316;0.00979658;0.01022104;0.01215451;0.01076248;0.0103417;0.010655262;0.000906014
317;0.00930708;0.01097935;0.01208504;0.01078493;0.01144742;0.010920764;0.001031839
318;0.00909473;0.011577;0.01095401;0.00993106;0.01054404;0.010420168;0.000953232
319;0.00935326;0.0106246;0.01080325;0.01045415;0.01037679;0.01032241;0.000566147
320;0.00952913;0.01007403;0.01054195;0.01105027;0.00995037;0.01022915;0.000583929
321;0.00887076;0.01090613;0.01061303;0.01180456;0.00955705;0.010350306;0.001152294
322;0.00877587;0.01072948;0.01182197;0.01053416;0.01055956;0.010484208;0.001092744
323;0.00956743;0.01038756;0.01123857;0.01121327;0.01002546;0.010486458;0.00073499
324;0.0095251;0.00937182;0.01094219;0.01320711;0.00979385;0.010568014;0.001598649
325;0.00946282;0.00922576;0.01161283;0.01036774;0.01007296;0.010148422;0.000938035
326;0.01004693;0.01095112;0.01119434;0.01137226;0.00917686;0.010548302;0.000920701
327;0.00874629;0.00962209;0.01155799;0.01006857;0.00889235;0.009777458;0.001132023
328;0.00852417;0.01049688;0.0106709;0.00983854;0.00907763;0.009721624;0.000917121
329;0.00841107;0.01003139;0.01016887;0.009858;0.00988347;0.00967056;0.000715068
330;0.0096604;0.00895982;0.01019911;0.0101748;0.00897907;0.00959464;0.000609962
331;0.00793882;0.0091761;0.010159;0.01051574;0.00862863;0.009283658;0.001064597
332;0.00741968;0.01000562;0.01039214;0.00949137;0.00872101;0.009205964;0.001178337
333;0.00812475;0.01091591;0.00901292;0.0085676;0.00922838;0.009169912;0.001064392
334;0.00818915;0.0097797;0.00957553;0.00857352;0.00897856;0.009019292;0.000666545
335;0.00807339;0.00839442;0.00972416;0.0089957;0.00934662;0.008906858;0.000675745
336;0.00806247;0.00834793;0.00930965;0.00904436;0.00897012;0.008746906;0.000520245
337;0.00817214;0.00846931;0.00918034;0.00966985;0.00901995;0.008902318;0.000591797
338;0.00897427;0.00831323;0.00945399;0.00916673;0.0088832;0.008958284;0.000421652
339;0.00848823;0.00858113;0.00904279;0.00948933;0.00911005;0.008942306;0.000410519
340;0.00846378;0.00817203;0.00921739;0.01000622;0.00826773;0.00882543;0.000777279
341;0.00801006;0.00821791;0.00911142;0.00987018;0.00855743;0.0087534;0.000750514
342;0.00821765;0.00817059;0.0089186;0.00873778;0.00746783;0.00830249;0.000567962
343;0.00735636;0.00830766;0.00842553;0.00879862;0.00853888;0.00828541;0.000550203
344;0.00773024;0.00760534;0.00852547;0.00825073;0.00872749;0.008167854;0.000488845
345;0.00785708;0.00792629;0.0082491;0.00867821;0.00865951;0.008274038;0.000389663
346;0.00755275;0.00733193;0.00892976;0.00828479;0.00837029;0.008093904;0.000649025
347;0.0073467;0.00809118;0.00880017;0.00820467;0.00818699;0.008125942;0.000517913
348;0.00718183;0.00850514;0.00924994;0.00807082;0.00828139;0.008257824;0.000748122
349;0.00710966;0.00856952;0.00803292;0.00828701;0.00774274;0.00794837;0.00055977
350;0.00656208;0.00787707;0.00822478;0.00777855;0.00773778;0.007636052;0.00063023
351;0.00702068;0.0075809;0.00815202;0.0071648;0.00731927;0.007447534;0.000445163
352;0.00663629;0.00758882;0.0079476;0.00765885;0.00756852;0.007480016;0.00049552
353;0.00670588;0.0074667;0.0078852;0.00728841;0.00768934;0.007407106;0.000452103
354;0.00752681;0.00842555;0.00748577;0.0073737;0.00804927;0.00777222;0.000448524
355;0.00692599;0.00724831;0.00810222;0.00716107;0.00741947;0.007371412;0.000445586
356;0.00663886;0.00741147;0.00823253;0.00752874;0.00754927;0.007472174;0.000566873
357;0.00662348;0.00716661;0.00761809;0.00684696;0.00722711;0.00709645;0.000380805
358;0.00625355;0.00714643;0.00718305;0.00705168;0.007247;0.006976342;0.000410188
359;0.0066092;0.00665975;0.00721746;0.00642315;0.00702169;0.00678625;0.000324255
360;0.00627513;0.00696016;0.00702114;0.00710665;0.00701154;0.006874924;0.000339396
361;0.00659802;0.00685608;0.00768389;0.00709389;0.00724037;0.00709445;0.000409877
362;0.0067742;0.00696803;0.00746997;0.0070326;0.00700511;0.007049982;0.000255674
363;0.00666583;0.00661613;0.00705852;0.0069357;0.0066745;0.006790136;0.000195141
364;0.00630541;0.00656009;0.00694524;0.0069958;0.00739751;0.00684081;0.000421396
365;0.00647918;0.00664536;0.00710261;0.00685846;0.00668571;0.006754264;0.000236872
366;0.00586792;0.00686778;0.0066487;0.00734021;0.00716683;0.006778288;0.00057452
367;0.0060994;0.00622374;0.00748255;0.00662545;0.00625185;0.006536598;0.000564097
368;0.00592711;0.00655936;0.00654095;0.00681205;0.00650121;0.006468136;0.00032623
369;0.00574995;0.00615988;0.00686925;0.00651667;0.00658927;0.006377004;0.000432206
370;0.00583101;0.00618291;0.00672653;0.00627835;0.00638732;0.006281224;0.000324777
371;0.00584791;0.00625016;0.00668991;0.00631981;0.00643108;0.006307774;0.000306664
372;0.00574941;0.006235;0.0065582;0.0061484;0.00636988;0.006212178;0.00030139
373;0.00560778;0.00589862;0.00648357;0.00615125;0.00685423;0.00619909;0.000487944
374;0.00587135;0.00612779;0.00608286;0.00593142;0.00620918;0.00604452;0.000139907
375;0.00539094;0.00597592;0.00617848;0.00653939;0.00591207;0.00599936;0.000418945
376;0.00525801;0.00580336;0.00659532;0.00619867;0.00612499;0.00599607;0.000499659
377;0.0054383;0.00621273;0.00631389;0.00593833;0.00583102;0.005946854;0.000345515
378;0.00533441;0.00572629;0.00615444;0.00606783;0.00586158;0.00582891;0.000323721
379;0.00552244;0.00546473;0.00604765;0.00581459;0.00578385;0.005726652;0.000236828
380;0.00524324;0.00560636;0.0058155;0.00591827;0.00575077;0.005666828;0.000262419
381;0.00520931;0.00573336;0.00616094;0.00570774;0.00605182;0.005772634;0.000371421
382;0.00510777;0.00567801;0.00574663;0.00583157;0.00558448;0.005589692;0.000284258
383;0.00498151;0.00557352;0.00581332;0.00612276;0.00564042;0.005626306;0.000418386
384;0.00512798;0.00540085;0.00605246;0.0055013;0.0056092;0.005538358;0.000338383
385;0.00508608;0.00542648;0.00567549;0.00568059;0.00554871;0.00548347;0.000245536
386;0.00507103;0.00517639;0.00578739;0.00562476;0.00580054;0.005492022;0.000345291
387;0.00509448;0.00528335;0.00550671;0.00551968;0.00562113;0.00540507;0.000212973
388;0.00485609;0.00521906;0.00551546;0.00572399;0.00536587;0.005336094;0.000326964
389;0.00492493;0.00516304;0.00581543;0.00538706;0.00551374;0.00536084;0.000339065
390;0.00482863;0.00516942;0.00547217;0.00539276;0.00537309;0.005247214;0.000259277
391;0.00476513;0.00496692;0.00547124;0.00515046;0.0051887;0.00510849;0.000263496
392;0.0048717;0.0049936;0.00539978;0.00527798;0.00511794;0.0051322;0.000212205
393;0.0045711;0.00500778;0.00537699;0.00536743;0.00524715;0.00511409;0.000338062
394;0.00465942;0.0049182;0.00521779;0.00510059;0.00520019;0.005019238;0.0002337
395;0.00474704;0.00482875;0.00506061;0.00520791;0.00501693;0.004972248;0.000184832
396;0.00461395;0.00476907;0.00531815;0.00525386;0.00529977;0.00505096;0.000333506
397;0.00466661;0.00503779;0.00529357;0.00502911;0.00516921;0.005039258;0.000234805
398;0.00479012;0.00497111;0.00511884;0.00513286;0.00502238;0.005007062;0.000138664
399;0.00453362;0.00475304;0.00518625;0.00502215;0.00488981;0.004876974;0.000250072
400;0.0044441;0.00499228;0.00513442;0.00506297;0.0047502;0.004876794;0.000281789
401;0.00423469;0.00471166;0.00518406;0.00493693;0.00495735;0.004804938;0.000359954
402;0.00434608;0.00472873;0.00491703;0.00478702;0.00513913;0.004783598;0.000290969
403;0.00469274;0.00452628;0.00469142;0.00493604;0.00462239;0.004693774;0.000151533
404;0.00432575;0.004364;0.00493813;0.00502936;0.0047189;0.004675228;0.00032227
405;0.00425619;0.004611;0.00514636;0.00464475;0.0046829;0.00466824;0.000317186
406;0.00422515;0.00487287;0.00464524;0.00473828;0.00456881;0.00461007;0.00024321
407;0.00424348;0.00431603;0.00481512;0.00460304;0.00459999;0.004515532;0.000233643
408;0.00428195;0.00438668;0.00466598;0.00448351;0.00476312;0.004516248;0.000197561
409;0.00439116;0.00424537;0.00458908;0.00447264;0.0042498;0.00438961;0.00014751
410;0.00384855;0.00421336;0.00461121;0.00454265;0.00460768;0.00436469;0.000331959
411;0.004298;0.00435568;0.00469659;0.00427008;0.00445317;0.004414704;0.000172452
412;0.00387966;0.00445871;0.00426149;0.00460542;0.00438069;0.004317194;0.000274623
413;0.00405531;0.00395684;0.00463853;0.0043511;0.00429095;0.004258546;0.000267552
414;0.0039496;0.00430696;0.00433208;0.00431993;0.00440099;0.004261912;0.000178326
415;0.00401606;0.00405367;0.00438885;0.00427899;0.00433761;0.004215036;0.000169526
416;0.00397434;0.00411187;0.00419909;0.00433995;0.00430979;0.004187008;0.000149571
417;0.0038645;0.00402671;0.00435122;0.00426898;0.00421588;0.004145458;0.000197227
418;0.00388316;0.00406376;0.00433351;0.00423017;0.00426953;0.004156026;0.000182243
419;0.00379747;0.00403157;0.00418256;0.0042355;0.00409024;0.004067468;0.000170431
420;0.00368491;0.00389452;0.00426231;0.0041805;0.00397135;0.003998718;0.000230547
421;0.00357163;0.00387748;0.00422519;0.00409093;0.00399588;0.003952222;0.000248039
422;0.00373186;0.00389352;0.00399187;0.0038388;0.00410153;0.003911516;0.000141818
423;0.00366317;0.00381455;0.00396073;0.00385117;0.00390567;0.003839058;0.000112833
424;0.00359628;0.00370057;0.00393303;0.00395633;0.00396687;0.003830616;0.000170795
425;0.00356442;0.00370413;0.00390953;0.00382125;0.00399259;0.003798384;0.000168979
426;0.00367632;0.00365491;0.00384929;0.00387865;0.00378084;0.003768002;0.000100263
427;0.00343055;0.00355497;0.00386061;0.0040001;0.00387112;0.00374347;0.00023944
428;0.00352076;0.00358999;0.00391855;0.00383491;0.0038695;0.003746742;0.000178886
429;0.00347845;0.00364276;0.00366888;0.00374901;0.00369669;0.003647158;0.000102202
430;0.00335993;0.00346164;0.00378815;0.00383741;0.00371735;0.003632896;0.000210298
431;0.00343462;0.00352581;0.00381422;0.00364278;0.00366725;0.003616936;0.000144623
432;0.00339491;0.00358639;0.00360431;0.00369974;0.00371706;0.003600482;0.00012837
433;0.00337667;0.00344377;0.00371128;0.00364075;0.00365145;0.003564784;0.00014558
434;0.00330061;0.00353781;0.00359165;0.00361873;0.0035764;0.00352504;0.000128826
435;0.00325918;0.00346358;0.00359378;0.00359259;0.00353688;0.003489202;0.000139163
436;0.00325567;0.00345127;0.00358456;0.0034937;0.00347433;0.003451906;0.000120785
437;0.00321844;0.00336917;0.00346112;0.00346062;0.00341695;0.00338526;0.000100655
438;0.0030978;0.00328486;0.00347593;0.00342208;0.00350583;0.0033573;0.000168017
439;0.00321757;0.00328259;0.00343119;0.00340482;0.00336773;0.00334078;8.88372E-05
440;0.00316828;0.00325539;0.00331261;0.00343653;0.003456;0.003325762;0.000121611
441;0.00317612;0.00315212;0.00344533;0.00335479;0.00348324;0.00332232;0.000152006
442;0.00317261;0.00324579;0.00332733;0.00344612;0.00350038;0.003338446;0.000136039
443;0.00321444;0.00319673;0.00333307;0.00337236;0.0033748;0.00329828;8.64509E-05
444;0.00309189;0.00321451;0.00337135;0.00346067;0.00341564;0.003310812;0.000153551
445;0.00308951;0.0032072;0.00335227;0.0032524;0.00330623;0.003241522;0.000101065
446;0.00301331;0.00322336;0.00325318;0.00332272;0.00326055;0.003214624;0.000118199
447;0.00302589;0.00313372;0.00325432;0.00321365;0.00318419;0.003162354;8.80457E-05
448;0.00295325;0.00314475;0.00315424;0.00320284;0.00319924;0.003130864;0.000102642
449;0.00296294;0.00304757;0.00314293;0.00314185;0.00319771;0.0030986;9.30943E-05
450;0.00295679;0.00303556;0.00306336;0.00311936;0.00310583;0.00305618;6.48304E-05
451;0.00288725;0.00299177;0.0030981;0.00315212;0.00308433;0.003042714;0.000104323
452;0.00284281;0.00297048;0.00311037;0.00306152;0.00305027;0.00300709;0.000104669
453;0.00282564;0.00298101;0.00300217;0.00302552;0.00308506;0.00298388;9.66358E-05
454;0.00286593;0.00290089;0.00297673;0.00300213;0.00303411;0.002955958;7.03715E-05
455;0.00279352;0.00288277;0.00294562;0.00300273;0.00304503;0.002933934;9.94304E-05
456;0.00281008;0.00286249;0.00298323;0.00297563;0.00300988;0.002928262;8.6919E-05
457;0.00279951;0.0028888;0.00293147;0.0029876;0.00297676;0.002916828;7.64264E-05
458;0.00275937;0.00284887;0.00293767;0.00295038;0.00297236;0.00289373;8.85828E-05
459;0.00276063;0.00283977;0.00292953;0.00291653;0.00290491;0.002870274;7.03613E-05
460;0.00270791;0.00282663;0.00286586;0.00290185;0.00288273;0.002836996;7.73004E-05
461;0.00269057;0.002775;0.00285372;0.00286172;0.00289641;0.002815484;8.27515E-05
462;0.00269579;0.00277579;0.00280784;0.0028238;0.00288767;0.002798178;7.02552E-05
463;0.00269509;0.00273692;0.00277531;0.00284293;0.00286453;0.002782956;7.09743E-05
464;0.00267477;0.00270803;0.0027848;0.00282825;0.00286472;0.002772114;7.97977E-05
465;0.00266302;0.00271325;0.00278092;0.00281514;0.00281049;0.002756564;6.62551E-05
466;0.00262402;0.00270988;0.00275877;0.00280458;0.00282009;0.002743468;7.94288E-05
467;0.0026287;0.00268801;0.00275641;0.00274946;0.00282124;0.002728764;7.31747E-05
468;0.00263694;0.00267852;0.00269601;0.00275771;0.00278061;0.002709958;5.87079E-05
469;0.00260478;0.00263811;0.00271121;0.00276351;0.00275981;0.002695484;7.16444E-05
470;0.00258543;0.00263854;0.00271264;0.00272541;0.00272598;0.0026776;6.29984E-05
471;0.00256467;0.00264399;0.00267745;0.00270207;0.00272675;0.002662986;6.29077E-05
472;0.00256166;0.00261917;0.00265141;0.0026673;0.00270694;0.002641296;5.45873E-05
473;0.00253939;0.00259849;0.00263154;0.0026764;0.0026938;0.002627924;6.2063E-05
474;0.00253251;0.00257662;0.00262128;0.00264983;0.00268989;0.002614026;6.15101E-05
475;0.00253153;0.00257338;0.00260058;0.00263335;0.0026878;0.002605328;5.93216E-05
476;0.00252752;0.00255523;0.00259177;0.00263247;0.00266769;0.002594936;5.66424E-05
477;0.00251242;0.0025455;0.00258723;0.00262718;0.00264263;0.002582992;5.4574E-05
478;0.00249668;0.00254191;0.00258363;0.00261432;0.00263884;0.002575076;5.68441E-05
479;0.00249283;0.0025388;0.0025724;0.00259249;0.00263063;0.00256543;5.24685E-05
480;0.00248226;0.00252561;0.00255028;0.00258825;0.00261125;0.00255153;5.09573E-05
481;0.00247001;0.00250828;0.00254469;0.0025771;0.00260274;0.002540564;5.30044E-05
482;0.00246487;0.00250768;0.00253563;0.00256;0.00259622;0.00253288;5.00385E-05
483;0.00245656;0.00249777;0.00252431;0.00255678;0.00259059;0.002525202;5.18117E-05
484;0.00245342;0.00248897;0.00251472;0.00254629;0.00257969;0.002516618;4.90421E-05
485;0.00244519;0.00248106;0.00250354;0.00254125;0.00257155;0.002508518;4.95822E-05
486;0.00243761;0.00247254;0.00250092;0.00253227;0.0025602;0.002500708;4.82449E-05
487;0.00243043;0.00246902;0.00249279;0.00252297;0.00255274;0.00249359;4.73165E-05
488;0.00242293;0.00246211;0.00248524;0.00251503;0.00254683;0.002486428;4.7674E-05
489;0.00241949;0.00245632;0.00247734;0.00251;0.00254589;0.002481808;4.86169E-05
490;0.00241753;0.00245157;0.0024701;0.00250364;0.0025373;0.002476028;4.62926E-05
491;0.00241176;0.0024452;0.00246573;0.00250088;0.00253457;0.002471628;4.7788E-05
492;0.00240959;0.00244242;0.00246363;0.00249524;0.00252927;0.00246803;4.63173E-05
493;0.00240599;0.00243973;0.0024583;0.00249324;0.0025239;0.002464232;4.59059E-05
494;0.00240137;0.00243607;0.00245711;0.00248826;0.00252157;0.002460876;4.63792E-05
495;0.0024006;0.00243277;0.00245163;0.00248493;0.00251872;0.00245773;4.57812E-05
496;0.00239809;0.0024329;0.00245068;0.00248294;0.00251623;0.002456168;4.54663E-05
497;0.00239634;0.00242917;0.00244822;0.00248065;0.00251509;0.002453894;4.58715E-05
498;0.0023963;0.00242793;0.00244618;0.00247958;0.00251318;0.002452634;4.53248E-05
499;0.00239497;0.00242768;0.00244575;0.00247754;0.00251264;0.002451716;4.53102E-05
