Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
67;0.2166515;0.22803512;0.22157817;0.23071586;0.22788456;0.224973042;0.005735992
68;0.21446761;0.22774103;0.21911034;0.22996642;0.22815416;0.223887912;0.006737265
69;0.21553483;0.22540765;0.21922607;0.22826741;0.22676034;0.22303926;0.00542324
70;0.2121552;0.22446608;0.21848379;0.22697697;0.2263928;0.221694968;0.006304107
71;0.21255496;0.22289211;0.21759471;0.22803627;0.22354781;0.220925172;0.005967982
72;0.20988716;0.22209426;0.21615136;0.22622316;0.22390441;0.21965207;0.006611247
73;0.21030298;0.22222799;0.21469232;0.22586846;0.22398093;0.219414536;0.006628356
74;0.20877277;0.22149088;0.21345923;0.22465656;0.22256696;0.21818928;0.006762662
75;0.20745546;0.21893056;0.21217541;0.2228486;0.2225186;0.216785726;0.006755248
76;0.20642096;0.21733566;0.21109658;0.22207328;0.22001746;0.215388788;0.006495043
77;0.20435336;0.21707399;0.21041652;0.22222828;0.21886001;0.214586432;0.007158093
78;0.20348044;0.2163784;0.21045238;0.22135382;0.21851064;0.214035136;0.00712955
79;0.20289481;0.21640996;0.2090167;0.22072625;0.21910931;0.213631406;0.007493908
80;0.20308077;0.21503162;0.20759205;0.21922495;0.21850387;0.212686652;0.007076655
81;0.20088277;0.21389152;0.20477669;0.21879597;0.2172897;0.21112733;0.007901032
82;0.19861498;0.2131131;0.20472798;0.21682593;0.21523488;0.209703374;0.007756636
83;0.19853237;0.21149865;0.20343641;0.21685242;0.21406209;0.208876388;0.007648152
84;0.19717137;0.21118827;0.20167815;0.21511646;0.21259884;0.207550618;0.007716438
85;0.1956078;0.20969393;0.20296618;0.21355512;0.21313867;0.20699234;0.007647937
86;0.19434232;0.20737826;0.1999698;0.21493145;0.21159673;0.205643712;0.0084354
87;0.19275146;0.20871412;0.19954026;0.21290192;0.20981767;0.204745086;0.008350981
88;0.19162273;0.20657481;0.19803342;0.21208615;0.21046668;0.203756758;0.008693884
89;0.19240205;0.20597163;0.19687935;0.21172337;0.20863036;0.203121352;0.008159871
90;0.18883861;0.20487945;0.1959725;0.21025348;0.20801031;0.20159087;0.008961738
91;0.18734523;0.20365376;0.19531606;0.21051887;0.20784857;0.200936498;0.009530136
92;0.18711379;0.20311591;0.19356505;0.20845745;0.20565755;0.19958195;0.008941957
93;0.18513346;0.20117746;0.19454501;0.20785159;0.20427721;0.198596946;0.008975752
94;0.18417211;0.20217189;0.19169794;0.20694077;0.20345564;0.19768767;0.009454427
95;0.18407917;0.20050739;0.1912224;0.20602865;0.20201517;0.196770556;0.008930783
96;0.18139575;0.19929053;0.19197467;0.20528642;0.20302309;0.196194092;0.009691337
97;0.18099243;0.19854378;0.18962699;0.20424056;0.20120827;0.194922406;0.009507104
