Step;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r2 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r0 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r1 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r3 - train/loss;peptides-functional.custom_gnn.da-gcnconv.wothird_ND0.0_L16_0.005.r4 - train/loss;DA-GCN_mean;DA-GCN_std
66;0.17572501;0.17455765;0.19420637;0.17947342;0.18273043;0.181338576;0.007881771
67;0.173477;0.17300224;0.19135838;0.17483643;0.18020742;0.178576294;0.007699054
68;0.17264867;0.17151073;0.19112744;0.16869665;0.17670427;0.176137552;0.008859525
69;0.17079695;0.17062769;0.18979544;0.16715341;0.17683588;0.175041874;0.008952911
70;0.16589081;0.1682328;0.18932219;0.16780157;0.17508821;0.173267116;0.009626892
71;0.16545565;0.16797156;0.18395024;0.16650911;0.1808084;0.172938992;0.008734906
72;0.16601169;0.17066566;0.18626391;0.16191855;0.17165745;0.171303452;0.009225326
73;0.16500136;0.17098779;0.18219108;0.16314174;0.16728831;0.169722056;0.007559552
74;0.16063144;0.16217722;0.18255492;0.16075189;0.1816031;0.169543714;0.011464187
75;0.15741693;0.16666102;0.18194272;0.15455264;0.17447826;0.167010314;0.011468387
76;0.15932444;0.16635628;0.17516104;0.15789671;0.16696915;0.165141524;0.006919761
77;0.154679;0.15873512;0.17345284;0.15934265;0.16661909;0.16256574;0.007453543
78;0.15635439;0.15416869;0.17542973;0.15282358;0.16171883;0.160099044;0.009216528
79;0.15492551;0.15526528;0.1713646;0.14992548;0.15780153;0.15785648;0.008072763
80;0.15060224;0.14899476;0.16624252;0.14664015;0.15451625;0.153399184;0.007731518
81;0.14670548;0.14590124;0.1681288;0.1446313;0.15583202;0.152239768;0.009925468
82;0.1444595;0.14582397;0.16249772;0.14188675;0.15071855;0.149077298;0.008161091
83;0.14344774;0.1421591;0.16099443;0.1403913;0.14641708;0.14668193;0.008297677
84;0.14452548;0.141455;0.16129852;0.13699262;0.144638;0.145781924;0.009214474
85;0.13900496;0.14058319;0.1584334;0.13463914;0.14282166;0.14309647;0.009081305
86;0.13686037;0.13762798;0.15837007;0.13248989;0.14102614;0.14127489;0.01002835
87;0.14192457;0.13328015;0.1546752;0.12961045;0.1395122;0.139800514;0.009646289
88;0.16953468;0.13458776;0.15488888;0.12690841;0.14158787;0.14550152;0.016925173
89;0.14161578;0.13244395;0.15065711;0.12820836;0.13821225;0.13822749;0.008657489
90;0.13188546;0.12800457;0.1478025;0.12610326;0.13628808;0.134016774;0.008638835
91;0.12844173;0.12503239;0.15040483;0.1253993;0.13288292;0.132432234;0.010528073
92;0.12469326;0.12725774;0.14571021;0.11989345;0.13312888;0.130136708;0.009928884
93;0.12421539;0.12279235;0.14058599;0.11532277;0.12966376;0.126516052;0.009385092
94;0.12302754;0.12117953;0.14382237;0.13524969;0.12638076;0.129931978;0.009461882
95;0.12241711;0.12247175;0.14619787;0.12645243;0.12577017;0.128661866;0.009975839
96;0.12103983;0.11821373;0.15549514;0.1184514;0.12171721;0.126983462;0.016013121
97;0.11735267;0.11796362;0.14341886;0.11136118;0.12016767;0.1220528;0.012381292
98;0.11418809;0.11680639;0.13708576;0.10902462;0.12129983;0.119680938;0.010695094
99;0.10919336;0.11567157;0.13740493;0.10579733;0.12442661;0.11849876;0.012732758
100;0.10984994;0.11116939;0.13009368;0.10523229;0.11798884;0.114866828;0.009660079
101;0.10500718;0.10753554;0.13312124;0.1066743;0.11447042;0.113361736;0.011620372
102;0.10847947;0.10783668;0.12752428;0.10576181;0.11018999;0.111958446;0.008844676
103;0.10617255;0.10385848;0.12449585;0.10261205;0.11204751;0.109837288;0.008960176
104;0.10706102;0.11318484;0.12115736;0.09694289;0.10774088;0.109217398;0.008885338
105;0.10094218;0.10813561;0.120998;0.09723718;0.10736283;0.10693516;0.009074057
106;0.10003361;0.10007835;0.1214816;0.09711522;0.10571777;0.10488531;0.009787109
107;0.10526013;0.10960326;0.12314447;0.09435832;0.10162281;0.106797798;0.010711791
108;0.09859232;0.10932779;0.11724084;0.09039068;0.09790668;0.102691662;0.010568013
109;0.11187756;0.1027555;0.11045646;0.09152711;0.11079764;0.105482854;0.008603447
110;0.0977152;0.09730276;0.10634839;0.09981612;0.09922303;0.1000811;0.003653836
111;0.0944665;0.09331413;0.11070283;0.09255019;0.10103634;0.098413998;0.007646367
112;0.09065842;0.09982329;0.10626902;0.09230474;0.09717469;0.097246032;0.006242489
113;0.08944017;0.09525893;0.10723061;0.08678559;0.09194607;0.094132274;0.007962488
114;0.08938862;0.09460086;0.10518853;0.0812325;0.09195786;0.092473674;0.008693965
115;0.0834521;0.09066848;0.10418842;0.07958304;0.08963746;0.0895059;0.00938159
116;0.08349225;0.08590581;0.09583776;0.08251471;0.08828689;0.087207484;0.005318981
117;0.08487407;0.08179112;0.0966257;0.07795433;0.08686756;0.085622556;0.007011794
118;0.08286169;0.08093278;0.10020842;0.07995675;0.08737794;0.086267516;0.008298594
119;0.07888113;0.07880509;0.09457832;0.0811503;0.09162928;0.085008824;0.007522115
120;0.07719828;0.07891768;0.09457026;0.07920206;0.10085599;0.086148854;0.010815273
121;0.07967647;0.08028519;0.09465494;0.08368881;0.09164684;0.08599045;0.006796727
122;0.07532636;0.08021123;0.09389302;0.07737252;0.0880444;0.082969506;0.007785078
123;0.07552799;0.08393753;0.09094012;0.07399897;0.07870165;0.080621252;0.006909369
124;0.07417628;0.07869031;0.093056;0.07117199;0.07796178;0.079011272;0.008415615
125;0.07621298;0.07384283;0.09076423;0.06893887;0.07289793;0.076531368;0.008377826
126;0.07203129;0.07616556;0.09753257;0.06840016;0.07878006;0.078581928;0.011309113
127;0.07355457;0.07764889;0.0971903;0.07423748;0.07450634;0.079427516;0.010053929
128;0.07175147;0.07725864;0.09042704;0.06831176;0.07447855;0.076445492;0.008488304
129;0.06801123;0.07108321;0.09022115;0.07264601;0.07127451;0.074647222;0.008869411
130;0.07195925;0.07001341;0.08141144;0.06987249;0.07159645;0.072970608;0.004808902
131;0.06633112;0.06687117;0.08198865;0.06625889;0.06767994;0.069825954;0.00682285
132;0.06324509;0.0685015;0.08063237;0.06362962;0.06725684;0.068653084;0.007070314
133;0.06875735;0.07192401;0.0753777;0.062394;0.06965299;0.06962121;0.004780688
134;0.06243676;0.07693432;0.07144728;0.06186885;0.06789603;0.068116648;0.006328294
135;0.06105886;0.06816606;0.07170822;0.06161938;0.07280475;0.067071454;0.005510101
136;0.06162749;0.06449388;0.0706034;0.06190185;0.07282065;0.066289454;0.005135069
137;0.06333848;0.06364904;0.07029626;0.06636423;0.06839262;0.066408126;0.003003873
138;0.06261862;0.06057798;0.07058113;0.06555085;0.0671867;0.065303056;0.003905129
139;0.06170429;0.06006645;0.06902741;0.06050985;0.06587017;0.063435634;0.003876341
140;0.06091083;0.06611214;0.06590626;0.0586356;0.0641605;0.063145066;0.003270547
141;0.05856249;0.06465736;0.0640982;0.05858037;0.06008642;0.061196968;0.002975392
142;0.06780747;0.06353131;0.07010731;0.05324433;0.05707814;0.062353712;0.007107408
143;0.06635173;0.0670069;0.07563921;0.05534306;0.05574795;0.06401777;0.008559799
144;0.06879139;0.06170673;0.08334223;0.05370957;0.05404256;0.064318496;0.012317414
145;0.06113523;0.06180818;0.07133455;0.05097152;0.06150526;0.061350948;0.007205627
146;0.06669971;0.06310722;0.06304766;0.05563347;0.06114564;0.06192674;0.00405113
147;0.06707855;0.05791341;0.05938328;0.05234016;0.05920539;0.059184158;0.005263474
148;0.06421107;0.05756011;0.06069631;0.05280931;0.05918572;0.058892504;0.004195455
149;0.05433609;0.05735791;0.05627324;0.05427299;0.05414542;0.05527713;0.001457438
150;0.05073626;0.05222917;0.0614028;0.05900583;0.05494931;0.055664674;0.004491467
151;0.04593468;0.05339299;0.06049558;0.05537794;0.05167581;0.0533754;0.005314141
152;0.05014739;0.0507609;0.05883812;0.05362931;0.05239818;0.05315478;0.003459517
153;0.05191737;0.04788785;0.05721302;0.05008773;0.05127381;0.051675956;0.003455115
154;0.04794313;0.04785109;0.05664988;0.05017037;0.04822891;0.050168676;0.003744762
155;0.04483091;0.05829592;0.06035894;0.04936372;0.04848098;0.052266094;0.006706075
156;0.04486452;0.06535183;0.05568346;0.04432244;0.0520053;0.05244551;0.008670451
157;0.04341665;0.06414195;0.05315345;0.05535628;0.05048695;0.053311056;0.007539743
158;0.04279659;0.06598907;0.06086036;0.05099744;0.04774802;0.053678296;0.009538133
159;0.04457489;0.06909809;0.0665107;0.04882484;0.04524136;0.054849976;0.011970656
160;0.04809133;0.06270771;0.05909607;0.04501535;0.04559683;0.052101458;0.008216164
161;0.04275434;0.06437447;0.05261564;0.0434706;0.05086179;0.050815368;0.008746688
162;0.04953644;0.06080185;0.04720958;0.04279867;0.05457883;0.050985074;0.006939998
163;0.04792407;0.0500279;0.04935514;0.04970435;0.04700018;0.048802328;0.001288443
164;0.04475425;0.04976652;0.04950706;0.04976397;0.04743785;0.04824593;0.002182425
165;0.04704007;0.04513961;0.04762234;0.0510187;0.04963391;0.048090926;0.002290567
166;0.04360884;0.04822896;0.04661643;0.04890023;0.05424689;0.04832027;0.003891342
167;0.04594091;0.04479345;0.04402789;0.042836;0.0431589;0.04415143;0.00125948
168;0.04638731;0.04551343;0.04733484;0.0385054;0.04462361;0.044472918;0.003484686
169;0.04291915;0.04385022;0.0440537;0.04383004;0.04400679;0.04373198;0.000464573
170;0.03926287;0.04132595;0.04984955;0.03851459;0.04080951;0.041952494;0.004558391
171;0.03789068;0.03849341;0.0493872;0.03599378;0.04614177;0.041581368;0.005833226
172;0.04181074;0.03829952;0.05124632;0.04187851;0.05472365;0.045591748;0.00701118
173;0.05017304;0.03824608;0.04896311;0.04219876;0.05388147;0.046692492;0.00633417
174;0.04403969;0.04118126;0.04888931;0.03615742;0.0481653;0.043686596;0.005249212
175;0.04477502;0.04263787;0.04591087;0.04017669;0.04014001;0.042728092;0.002623735
176;0.04301882;0.0443823;0.04031379;0.04002213;0.03676343;0.040900094;0.002951327
177;0.04139211;0.0405768;0.04022859;0.03844665;0.03576333;0.039281496;0.002241871
178;0.03592303;0.0355931;0.04138916;0.04189576;0.03532501;0.038025212;0.003313711
179;0.03811332;0.03734468;0.03866618;0.05464797;0.03623008;0.041000446;0.007683753
180;0.03943293;0.03718342;0.03935927;0.06604655;0.03888176;0.044180786;0.012257075
181;0.04030597;0.04104101;0.04035549;0.04094335;0.03961313;0.04045179;0.000575043
182;0.03881049;0.04064604;0.04189162;0.03688431;0.03814989;0.03927647;0.001995212
183;0.03923695;0.03984681;0.04113596;0.03580081;0.03679802;0.03856371;0.002206091
184;0.03923493;0.03601509;0.03930558;0.03337665;0.03460232;0.036506914;0.002689913
185;0.03503939;0.04090294;0.0627144;0.03398256;0.03689002;0.041905862;0.011927771
186;0.03590877;0.03823857;0.0511218;0.03180453;0.07435159;0.046285052;0.017271532
187;0.03448243;0.03705393;0.04333167;0.03277845;0.06610256;0.042749808;0.013655678
188;0.03946656;0.04056585;0.03754106;0.03111288;0.04154215;0.0380457;0.004150717
189;0.04287974;0.04060123;0.03486395;0.02945164;0.03414626;0.036388564;0.005370177
190;0.03825118;0.03883156;0.03570181;0.02978553;0.03260368;0.035034752;0.003829836
191;0.0374706;0.03696121;0.03512483;0.03426734;0.03159665;0.035084126;0.002347871
192;0.03501696;0.03998285;0.0349909;0.03574595;0.0315451;0.035456352;0.003011671
193;0.03639456;0.04265993;0.03700175;0.03378333;0.0303005;0.036028014;0.004552687
194;0.03807688;0.04144334;0.03438772;0.03400604;0.03190828;0.035964452;0.003783337
195;0.03601773;0.03434862;0.03998162;0.04285892;0.0318196;0.037005298;0.004417241
196;0.03810707;0.03629483;0.05225933;0.03845445;0.02841279;0.038705694;0.008600562
197;0.0387465;0.03984562;0.04763635;0.03068159;0.03161159;0.03770433;0.006905733
198;0.04700673;0.0346758;0.04671889;0.0306352;0.03587039;0.038981402;0.007452354
199;0.03835331;0.03396383;0.04280789;0.03100816;0.03687626;0.03660189;0.004469518
200;0.03163078;0.03148626;0.03638787;0.03094574;0.03370849;0.032831828;0.002248576
201;0.02948656;0.03009507;0.03657936;0.02884466;0.03250021;0.031501172;0.003157488
202;0.02725948;0.02908991;0.03508884;0.02949466;0.03252495;0.030691568;0.003101387
203;0.02572784;0.02812016;0.03208594;0.02971823;0.03289495;0.029709424;0.002922937
204;0.02644224;0.03023779;0.03004908;0.02901637;0.0297372;0.029096536;0.001554989
205;0.03222717;0.02886956;0.02697583;0.03102817;0.02888573;0.029597292;0.002053756
206;0.0281917;0.02788387;0.02717719;0.03241794;0.02538367;0.028210874;0.002591731
207;0.02628431;0.02910293;0.02900783;0.03299537;0.02580676;0.02863944;0.002867724
208;0.02525309;0.02829476;0.03131664;0.02884067;0.02856761;0.028454554;0.002158026
209;0.02483938;0.0427694;0.03718758;0.02654598;0.0295148;0.032171428;0.007581904
210;0.02763269;0.03582228;0.04666262;0.02413104;0.02642246;0.032134218;0.009241416
211;0.02880926;0.02761744;0.04837421;0.02452576;0.02491872;0.030849078;0.009961025
212;0.02864877;0.02629569;0.03915628;0.0242753;0.02494556;0.02866432;0.006098864
213;0.02553839;0.02380258;0.03156163;0.02767871;0.02516376;0.026749014;0.003028437
214;0.02925139;0.02742686;0.0296106;0.02874107;0.02456455;0.027918894;0.002049824
215;0.03472631;0.0262806;0.02899745;0.02675617;0.03211558;0.029775222;0.003602865
216;0.03440557;0.02942252;0.02743938;0.02514587;0.03682356;0.03064738;0.004856113
217;0.02660282;0.02842103;0.02605483;0.02341125;0.03170769;0.027239524;0.003075103
218;0.02513369;0.02566381;0.02579395;0.02528797;0.03005503;0.02638689;0.002068079
219;0.0244942;0.02851009;0.02595497;0.02308611;0.02684805;0.025778684;0.002093744
220;0.02531696;0.02536644;0.02561557;0.02485056;0.02465501;0.025160908;0.000395462
221;0.02408994;0.0246256;0.02325436;0.02711465;0.02395213;0.024607336;0.001484461
222;0.0207357;0.02436397;0.02455673;0.0288214;0.02645788;0.024987136;0.002979638
223;0.02231148;0.02511407;0.02380779;0.02580774;0.02564479;0.024537174;0.001471366
224;0.02244165;0.02422875;0.02456582;0.02513335;0.02751003;0.02477592;0.001829991
225;0.02175191;0.02453388;0.02596693;0.02431113;0.0316248;0.02563773;0.0036753
226;0.02343903;0.0247385;0.02586521;0.02580455;0.0272161;0.025412678;0.001410716
227;0.02185332;0.02126377;0.02724031;0.0253544;0.02827137;0.024796634;0.003142478
228;0.02340409;0.02498993;0.02525261;0.02685275;0.02729251;0.025558378;0.001560464
229;0.02961734;0.02552253;0.02483888;0.03053589;0.02619307;0.027341542;0.002562919
230;0.02991288;0.02430462;0.02382212;0.03360936;0.02343693;0.027017182;0.004533941
231;0.02605048;0.02064087;0.02375985;0.02668946;0.02120938;0.023670008;0.002739625
232;0.02104064;0.02212074;0.02456989;0.02356696;0.02136599;0.022532844;0.001498082
233;0.021172;0.02311462;0.02508189;0.02247257;0.02365516;0.023099248;0.001444572
234;0.0204221;0.02839413;0.02420103;0.02255908;0.02664138;0.024443544;0.003170948
235;0.02303514;0.02605442;0.02414776;0.02616866;0.02757183;0.025395562;0.001795586
236;0.02267884;0.02827321;0.02639993;0.02577697;0.02521892;0.025669574;0.002029252
237;0.02227302;0.0319558;0.03092326;0.02334066;0.02229577;0.026157702;0.004854624
238;0.02505029;0.04050169;0.02758045;0.02035935;0.0213114;0.026960636;0.008106858
239;0.02123039;0.03151382;0.02601216;0.01872926;0.02038316;0.023573758;0.005199299
240;0.01888796;0.02571246;0.02257967;0.01938179;0.01933726;0.021179828;0.002931935
241;0.0207632;0.02892854;0.02048033;0.01977301;0.01772703;0.021534422;0.004300514
242;0.02427754;0.03154151;0.01954548;0.02129393;0.01810476;0.022952644;0.005324144
243;0.02367117;0.02596296;0.01976372;0.01881436;0.0193322;0.021508882;0.003144769
244;0.0232691;0.02115582;0.02055211;0.02001777;0.01973245;0.02094545;0.001408038
245;0.02087345;0.01907483;0.01930319;0.02540661;0.01852127;0.02063587;0.00280628
246;0.02196536;0.01879593;0.01892478;0.02724231;0.01881667;0.02114901;0.003664653
247;0.01831719;0.01782016;0.02036309;0.02176615;0.02286688;0.020226694;0.002167759
248;0.01843913;0.0182805;0.02280999;0.02164289;0.02106824;0.02044815;0.002007802
249;0.01788451;0.0169913;0.02522435;0.02052957;0.02338663;0.020803272;0.003512296
250;0.01855961;0.01925374;0.02334709;0.01971096;0.02023577;0.020221434;0.001852607
251;0.01883204;0.01763341;0.0215716;0.01941975;0.01964806;0.019420972;0.001433439
252;0.019609;0.01853765;0.03085505;0.02260233;0.01933636;0.022188078;0.00508423
253;0.01860298;0.01712411;0.02703186;0.01999409;0.01938179;0.020426966;0.003845133
254;0.01831721;0.01684307;0.02316637;0.01871406;0.01744656;0.018897454;0.002495974
255;0.0157043;0.01792659;0.02111035;0.03121501;0.0163042;0.02045209;0.006371782
256;0.01539899;0.01582852;0.01939382;0.0289741;0.01616687;0.01915246;0.005713443
257;0.01657981;0.01651725;0.0233711;0.01962656;0.01594248;0.01840744;0.003127029
258;0.0178128;0.01656651;0.01982144;0.0190066;0.01580024;0.017801518;0.001663039
259;0.02000623;0.01723791;0.0179665;0.02011554;0.01745879;0.018556994;0.001398577
260;0.02116215;0.01645789;0.01690445;0.02018802;0.01803762;0.018550026;0.002052665
261;0.01964481;0.0161145;0.01543525;0.01710887;0.02158926;0.017978538;0.002574541
262;0.01917956;0.01559648;0.0165405;0.01619768;0.02667042;0.018836928;0.004588592
263;0.0189003;0.01753989;0.01652222;0.01637381;0.03385704;0.020638652;0.007457947
264;0.01737296;0.01497066;0.01650846;0.01607698;0.03150837;0.019287486;0.006886231
265;0.0168209;0.01933334;0.01543586;0.02075257;0.01900256;0.018269046;0.002119123
266;0.01531058;0.01993828;0.01590012;0.02301018;0.01837344;0.01850652;0.003136796
267;0.01575308;0.01777732;0.01621052;0.02155643;0.01723289;0.017706048;0.002297014
268;0.01645183;0.01614566;0.01599735;0.0183776;0.01682191;0.01675887;0.000958446
269;0.01591282;0.01588761;0.01700784;0.01548172;0.01712959;0.016283916;0.000737821
270;0.01460179;0.01813983;0.01691709;0.01534003;0.01681369;0.016362486;0.001397819
271;0.01469061;0.0159204;0.01822353;0.01470844;0.01649479;0.016007554;0.001464376
272;0.01464648;0.01561718;0.01850496;0.01395572;0.01528845;0.015602558;0.001742769
273;0.01419072;0.01393012;0.01914266;0.01503303;0.01444694;0.015348694;0.002159875
274;0.01402157;0.01384305;0.01773844;0.01437374;0.01430015;0.01485539;0.001625757
275;0.01554178;0.01390613;0.01537363;0.01397318;0.01445808;0.01465056;0.000769281
276;0.01418989;0.01381779;0.01553366;0.01397389;0.01422126;0.014347298;0.000683361
277;0.01475278;0.01503189;0.01443739;0.014927;0.01334061;0.014497934;0.000685058
278;0.01387834;0.01388181;0.01365213;0.01432076;0.01439891;0.01402639;0.000319499
279;0.01390229;0.0151934;0.0133224;0.01379368;0.01444177;0.014130708;0.000715052
280;0.01376049;0.01592678;0.01447798;0.0150118;0.01464269;0.014763948;0.000793256
281;0.0134744;0.01447472;0.01421736;0.01381666;0.0149219;0.014181008;0.00056315
282;0.01553571;0.01471672;0.01588921;0.01325055;0.01447645;0.014773728;0.001029152
283;0.01660597;0.01368345;0.01463727;0.01309013;0.01361271;0.014325906;0.001391418
284;0.0153303;0.01245543;0.01404293;0.01226026;0.01247796;0.013313376;0.001336345
285;0.01485585;0.01296576;0.01364524;0.01299714;0.01398651;0.0136901;0.000783216
286;0.01439108;0.01318928;0.01541018;0.01287278;0.01666546;0.014505756;0.00157283
287;0.01323411;0.01231945;0.01519481;0.01312591;0.01356411;0.013487678;0.001058309
288;0.0139671;0.01214332;0.01476826;0.01268693;0.01367379;0.01344788;0.001042227
